d,glon,glat
6.22,9.63399,-10.65112
6.24,32.54970,-0.29520
6.24,118.06155,-8.68967
6.24,59.17042,-7.17926
6.25,325.06920,3.27417
6.27,4.97013,-4.96200
6.27,296.39108,-3.07254
6.28,29.83702,-7.86383
6.28,343.64581,3.75460
6.3,14.28280,3.79600
6.3,99.18850,5.72085
6.3,126.62161,1.31769
6.3,358.98462,3.22851
6.31,11.01158,5.89449
6.33,226.80002,5.62715
6.33,19.40562,-5.34255
6.36,352.18764,5.12525
6.37,48.74341,2.39845
6.37,5.88483,-6.14884
6.37,355.79554,-3.09612
6.37,349.80062,4.46609
6.38,178.32662,-2.57124
6.38,285.49168,2.24720
6.4,356.29833,-4.41397
6.42,11.04501,-5.11097
6.42,27.66367,-0.82678
6.44,69.67674,-3.94075
6.44,243.83250,-37.10869
6.45,40.44102,-3.15727
6.46,107.78467,-2.29161
6.46,355.38550,3.79870
6.46,359.71464,-2.69153
6.48,13.00856,-4.31446
6.48,8.34704,14.82920
6.48,7.04182,-6.83984
6.49,0.94972,-2.08623
6.5,0.71193,-3.79136
6.5,347.19919,-0.86920
6.51,18.62984,-2.23814
6.53,359.38552,-1.81380
6.54,34.33936,6.23473
6.54,325.82471,-12.82100
6.55,356.95199,4.55872
6.56,172.11208,0.85442
6.57,3.39245,66.16474
6.57,359.75735,-4.46326
6.58,326.14100,-1.94812
6.59,77.51951,3.69643
6.62,353.28649,-5.27348
6.63,346.33689,-6.89713
6.63,0.39249,-2.82910
6.65,274.62258,2.17610
6.66,4.00733,-11.10181
6.66,6.84400,-8.66807
6.68,356.05460,-4.20510
6.68,0.71256,4.70323
6.68,78.61486,5.22091
6.68,296.46708,-6.90920
6.7,358.22180,3.56540
6.71,20.46815,0.67928
6.71,357.26151,7.28370
6.71,104.40729,-1.60995
6.73,333.46631,-4.36580
6.73,31.26446,5.96802
6.73,7.88296,-4.40740
6.74,324.26708,2.58861
6.74,2.48331,-3.74535
6.75,359.44300,-8.58839
6.77,358.38359,1.20767
6.77,3.61806,3.18475
6.77,347.03189,0.35030
6.79,15.51785,1.03479
6.81,264.41095,-12.77376
6.81,68.09760,10.98660
6.81,343.98578,-5.80164
6.82,52.22133,-4.01074
6.82,331.07535,-2.75014
6.84,10.21120,0.34340
6.85,98.26472,4.90666
6.85,358.35132,3.09059
6.86,25.91542,10.33994
6.87,12.52801,-9.87115
6.88,130.36037,-11.73888
6.89,146.79488,7.60123
6.9,3.62150,-1.34930
6.91,98.17165,2.42836
6.91,268.42592,2.48047
6.94,336.30814,-5.69613
6.94,29.50216,0.62475
6.94,21.90739,2.72758
6.96,299.77781,0.09730
6.97,1.71530,1.30822
6.98,316.77075,-5.79725
6.99,353.67041,1.77540
7,315.78229,-1.14400
7,341.22126,-24.60901
7,22.01789,-4.34365
7.01,21.74314,-0.67263
7.02,9.40464,-9.88787
7.04,357.03426,2.44005
7.08,8.14761,-4.75083
7.09,32.10853,7.07425
7.1,4.08712,-3.00477
7.13,19.64930,0.77410
7.13,30.04590,0.03520
7.13,359.39108,1.40521
7.15,1.24094,2.17148
7.18,359.72049,2.07080
